Year,Happy,Sad,Fear,Surprise,Angry
1925,0.0,0.0,1.0,0.0,0.0
1942,0.125,0.0,0.5,0.375,0.0
1943,0.27666666666666667,0.11,0.5,0.11,0.0
1944,0.25,0.16666666666666666,0.5,0.0,0.08333333333333333
1945,0.0,0.3066666666666667,0.36000000000000004,0.25,0.08333333333333333
1946,0.0,0.75,0.0,0.25,0.0
1947,0.0,0.0,0.5,0.5,0.0
1954,0.0,0.125,0.55,0.225,0.1
1955,0.3,0.32,0.19666666666666668,0.18000000000000002,0.0
1956,0.125,0.125,0.5,0.0,0.25
1958,0.27666666666666667,0.0,0.5,0.16666666666666666,0.05666666666666667
1959,0.33,0.17,0.17,0.33,0.0
1960,0.0,0.0,0.8325,0.1675,0.0
1962,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0
1963,0.0,0.165,0.165,0.165,0.0
1964,0.4,0.2,0.2,0.2,0.0
1965,0.5,0.0,0.5,0.0,0.0
1966,0.5,0.0,0.0,0.0,0.5
1967,0.132,0.35,0.426,0.09,0.0
1968,0.1,0.11600000000000002,0.484,0.3,0.0
1969,0.0,0.25,0.0,0.75,0.0
1970,0.35,0.1,0.2,0.35,0.0
1971,0.15,0.166,0.11600000000000002,0.266,0.1
1972,0.0,0.23,0.4575,0.25,0.0625
1973,0.1,0.13,0.445,0.28500000000000003,0.04
1974,0.2857142857142857,0.21857142857142858,0.3314285714285714,0.09285714285714286,0.07142857142857142
1975,0.105,0.10666666666666667,0.555,0.11666666666666665,0.11666666666666665
1976,0.11222222222222222,0.2255555555555556,0.2833333333333333,0.2288888888888889,0.1511111111111111
1977,0.028571428571428574,0.24142857142857146,0.44142857142857145,0.09428571428571429,0.047142857142857146
1978,0.10666666666666667,0.17666666666666667,0.4883333333333333,0.16166666666666665,0.065
1979,0.10545454545454547,0.24818181818181817,0.4518181818181818,0.10454545454545454,0.0890909090909091
1980,0.09555555555555556,0.33666666666666667,0.35555555555555557,0.1611111111111111,0.05
1981,0.19444444444444445,0.09222222222222223,0.40222222222222226,0.2888888888888889,0.022222222222222223
1982,0.12666666666666665,0.25266666666666665,0.35400000000000004,0.18866666666666668,0.078
1983,0.1444444444444445,0.31555555555555553,0.3377777777777778,0.12444444444444445,0.0788888888888889
1984,0.21333333333333332,0.30777777777777776,0.21333333333333332,0.26666666666666666,0.0
1985,0.12111111111111111,0.24000000000000002,0.23888888888888887,0.4,0.0
1986,0.063,0.276,0.421,0.22600000000000003,0.012
1987,0.03571428571428571,0.1757142857142857,0.1142857142857143,0.24285714285714288,0.14285714285714285
1988,0.03125,0.22999999999999998,0.40187500000000004,0.11875000000000001,0.09312500000000001
1989,0.06692307692307693,0.19230769230769232,0.44153846153846155,0.2353846153846154,0.06461538461538462
1990,0.087,0.213,0.3305,0.2685,0.1015
1991,0.09470588235294118,0.2735294117647059,0.3835294117647059,0.17,0.07647058823529412
1992,0.04611111111111112,0.28500000000000003,0.4261111111111111,0.20111111111111113,0.04
1993,0.09954545454545456,0.15954545454545457,0.4036363636363637,0.265,0.026363636363636367
1994,0.111875,0.1575,0.32,0.32625000000000004,0.083125
1995,0.18052631578947373,0.2410526315789474,0.3105263157894737,0.20421052631578948,0.061578947368421046
1996,0.12789473684210528,0.18894736842105264,0.3031578947368421,0.23842105263157895,0.1405263157894737
1997,0.12733333333333335,0.15066666666666667,0.368,0.2916666666666667,0.06266666666666668
1998,0.12064516129032259,0.22096774193548388,0.4009677419354838,0.18419354838709676,0.0735483870967742
1999,0.13090909090909092,0.2175757575757576,0.34212121212121216,0.18696969696969698,0.1215151515151515
2000,0.13323529411764706,0.17058823529411768,0.33235294117647063,0.2817647058823529,0.022647058823529412
2001,0.0825,0.15333333333333338,0.40138888888888885,0.21611111111111114,0.061666666666666675
2002,0.07355555555555555,0.24622222222222223,0.4037777777777778,0.20177777777777778,0.07377777777777778
2003,0.14448979591836736,0.19102040816326532,0.3577551020408163,0.23020408163265307,0.07591836734693878
2004,0.14254237288135593,0.17271186440677966,0.39559322033898314,0.22779661016949154,0.04440677966101695
2005,0.16958904109589037,0.21287671232876712,0.31246575342465754,0.19753424657534246,0.05219178082191782
2006,0.09223529411764705,0.2009411764705882,0.4035294117647059,0.212235294117647,0.044000000000000004
2007,0.08858823529411765,0.21494117647058822,0.36623529411764694,0.25423529411764706,0.06305882352941176
2008,0.13384,0.16495999999999994,0.3762399999999999,0.23584000000000002,0.06408
2009,0.15299270072992696,0.18145985401459855,0.3775182481751825,0.22211678832116794,0.0505109489051095
2010,0.12057803468208088,0.1949710982658959,0.39739884393063574,0.20387283236994214,0.06514450867052023
2011,0.12590361445783133,0.1585542168674698,0.3859638554216867,0.20813253012048183,0.06036144578313253
2012,0.1568949771689497,0.20068493150684924,0.34981735159817356,0.21858447488584468,0.04593607305936073
2013,0.11468164794007484,0.18838951310861407,0.39029962546816477,0.23303370786516847,0.05393258426966292
2014,0.10005988023952095,0.18949101796407178,0.41631736526946095,0.24038922155688625,0.040988023952095796
2015,0.10741219963031422,0.20613678373382632,0.3739371534195933,0.2334565619223661,0.058077634011090534
2016,0.10679138321995471,0.20131519274376422,0.3874716553287983,0.21557823129251713,0.06201814058956914
2017,0.09826086956521743,0.21162055335968386,0.38599802371541475,0.22585968379446653,0.05580039525691701
2018,0.1197502230151651,0.19835860838537026,0.37783229259589646,0.2158251561106155,0.0634701159678858
2019,0.11593373493975918,0.20170682730923695,0.3636445783132526,0.23540160642570288,0.06267068273092372
2020,0.1201267281105992,0.19983870967741943,0.3481682027649768,0.23980414746543802,0.06690092165898621
2021,0.21677419354838712,0.17903225806451611,0.33096774193548384,0.20935483870967744,0.06258064516129032
