,type,release_year,show_id,title,director,cast,country,date_added,rating,duration,listed_in,description,type_year
67,Movie,2017,744,744,725,654,717,744,742,744,744,744,"('Movie', 2017)"
68,Movie,2018,734,734,704,666,688,734,734,734,734,734,"('Movie', 2018)"
69,Movie,2019,582,582,548,521,531,582,582,582,582,582,"('Movie', 2019)"
70,Movie,2020,411,411,391,374,388,411,411,411,411,411,"('Movie', 2020)"
71,Movie,2021,12,12,9,9,6,12,12,12,12,12,"('Movie', 2021)"
72,TV Show,1925,1,1,0,0,0,1,1,1,1,1,"('TV Show', 1925)"
73,TV Show,1946,1,1,1,0,1,1,1,1,1,1,"('TV Show', 1946)"
74,TV Show,1963,1,1,0,1,1,1,1,1,1,1,"('TV Show', 1963)"
75,TV Show,1967,1,1,0,1,1,1,1,1,1,1,"('TV Show', 1967)"
76,TV Show,1968,1,1,0,1,1,1,1,1,1,1,"('TV Show', 1968)"
77,TV Show,1972,1,1,0,1,1,1,1,1,1,1,"('TV Show', 1972)"
78,TV Show,1974,1,1,0,1,1,1,1,1,1,1,"('TV Show', 1974)"
79,TV Show,1977,1,1,0,1,1,1,1,1,1,1,"('TV Show', 1977)"
80,TV Show,1979,1,1,0,1,1,1,1,1,1,1,"('TV Show', 1979)"
81,TV Show,1981,1,1,0,1,1,1,1,1,1,1,"('TV Show', 1981)"
82,TV Show,1985,1,1,0,1,1,1,1,1,1,1,"('TV Show', 1985)"
83,TV Show,1986,2,2,0,2,2,2,2,2,2,2,"('TV Show', 1986)"
84,TV Show,1988,2,2,0,1,2,2,2,2,2,2,"('TV Show', 1988)"
85,TV Show,1989,1,1,0,1,1,1,1,1,1,1,"('TV Show', 1989)"
86,TV Show,1990,3,3,1,3,3,3,3,3,3,3,"('TV Show', 1990)"
87,TV Show,1991,1,1,0,1,0,1,1,1,1,1,"('TV Show', 1991)"
88,TV Show,1992,2,2,0,2,2,2,2,2,2,2,"('TV Show', 1992)"
89,TV Show,1993,4,4,0,3,4,4,4,4,4,4,"('TV Show', 1993)"
90,TV Show,1994,1,1,0,1,0,1,1,1,1,1,"('TV Show', 1994)"
91,TV Show,1995,2,2,0,2,2,2,2,2,2,2,"('TV Show', 1995)"
92,TV Show,1996,3,3,0,3,2,3,3,3,3,3,"('TV Show', 1996)"
93,TV Show,1997,4,4,0,4,4,4,4,4,4,4,"('TV Show', 1997)"
94,TV Show,1998,4,4,0,4,4,4,4,4,4,4,"('TV Show', 1998)"
95,TV Show,1999,7,7,0,7,7,7,7,7,7,7,"('TV Show', 1999)"
96,TV Show,2000,4,4,0,4,4,4,4,4,4,4,"('TV Show', 2000)"
97,TV Show,2001,4,4,1,3,4,4,4,4,4,4,"('TV Show', 2001)"
98,TV Show,2002,6,6,0,6,6,6,6,6,6,6,"('TV Show', 2002)"
99,TV Show,2003,9,9,0,9,8,7,9,9,9,9,"('TV Show', 2003)"
100,TV Show,2004,9,9,0,8,8,9,9,9,9,9,"('TV Show', 2004)"
101,TV Show,2005,12,12,0,11,12,12,12,12,12,12,"('TV Show', 2005)"
102,TV Show,2006,13,13,4,12,13,13,13,13,13,13,"('TV Show', 2006)"
103,TV Show,2007,13,13,0,11,12,13,13,13,13,13,"('TV Show', 2007)"
104,TV Show,2008,23,23,1,22,20,22,23,23,23,23,"('TV Show', 2008)"
105,TV Show,2009,34,34,0,33,31,34,34,34,34,34,"('TV Show', 2009)"
106,TV Show,2010,37,37,1,35,31,36,37,37,37,37,"('TV Show', 2010)"
107,TV Show,2011,39,39,2,37,38,39,39,39,39,39,"('TV Show', 2011)"
108,TV Show,2012,61,61,5,55,53,60,61,61,61,61,"('TV Show', 2012)"
109,TV Show,2013,65,65,4,62,60,64,64,65,65,65,"('TV Show', 2013)"
110,TV Show,2014,90,90,8,80,81,90,90,90,90,90,"('TV Show', 2014)"
111,TV Show,2015,159,159,13,148,137,157,158,159,159,159,"('TV Show', 2015)"
112,TV Show,2016,240,240,12,211,197,239,240,240,240,240,"('TV Show', 2016)"
113,TV Show,2017,268,268,25,239,241,268,268,268,268,268,"('TV Show', 2017)"
114,TV Show,2018,387,387,24,334,333,386,387,387,387,387,"('TV Show', 2018)"
115,TV Show,2019,414,414,30,361,368,414,414,414,414,414,"('TV Show', 2019)"
116,TV Show,2020,457,457,50,379,417,457,457,457,457,457,"('TV Show', 2020)"
117,TV Show,2021,19,19,2,15,16,19,19,19,19,19,"('TV Show', 2021)"
